dataset,filename,emotion,length,path
iemocap,04_iemocap_happy_1165.wav,happy,2.7333333333333334,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/04_iemocap_happy_1165.wav
iemocap,04_iemocap_neutral_426.wav,neutral,5.150022675736961,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/04_iemocap_neutral_426.wav
tess,03_tess_happy_8.wav,happy,2.0024489795918368,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/03_tess_happy_8.wav
ravdees,01-2-speech_ravdees_angry_15.wav,angry,4.104126984126984,/home/amr/Desktop/KayMo/datasets/kaymodb/angry/01-2-speech_ravdees_angry_15.wav
savee,02_savee_neutral_64.wav,neutral,2.811609977324263,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/02_savee_neutral_64.wav
emodb,0_emodb_neutral_1.wav,neutral,1.7645351473922903,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/0_emodb_neutral_1.wav
iemocap,04_iemocap_sad_917.wav,sad,6.853151927437642,/home/amr/Desktop/KayMo/datasets/kaymodb/sad/04_iemocap_sad_917.wav
tess,03_tess_sad_142.wav,sad,2.0420408163265305,/home/amr/Desktop/KayMo/datasets/kaymodb/sad/03_tess_sad_142.wav
emodb,0_emodb_fearful_6.wav,fearful,2.445578231292517,/home/amr/Desktop/KayMo/datasets/kaymodb/fearful/0_emodb_fearful_6.wav
tess,03_tess_neutral_61.wav,neutral,2.0482993197278914,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/03_tess_neutral_61.wav
iemocap,04_iemocap_sad_375.wav,sad,4.589977324263039,/home/amr/Desktop/KayMo/datasets/kaymodb/sad/04_iemocap_sad_375.wav
iemocap,04_iemocap_happy_1184.wav,happy,1.3199546485260771,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/04_iemocap_happy_1184.wav
tess,03_tess_surprised_116.wav,surprised,1.9815873015873016,/home/amr/Desktop/KayMo/datasets/kaymodb/surprised/03_tess_surprised_116.wav
tess,03_tess_happy_311.wav,happy,2.0331519274376415,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/03_tess_happy_311.wav
iemocap,04_iemocap_happy_1086.wav,happy,1.403219954648526,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/04_iemocap_happy_1086.wav
tess,03_tess_happy_54.wav,happy,1.9751927437641723,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/03_tess_happy_54.wav
iemocap,04_iemocap_neutral_574.wav,neutral,2.92,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/04_iemocap_neutral_574.wav
iemocap,04_iemocap_happy_945.wav,happy,2.612517006802721,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/04_iemocap_happy_945.wav
iemocap,04_iemocap_happy_272.wav,happy,1.9900226757369615,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/04_iemocap_happy_272.wav
emodb,0_emodb_disgust_7.wav,disgust,2.552199546485261,/home/amr/Desktop/KayMo/datasets/kaymodb/disgust/0_emodb_disgust_7.wav
iemocap,04_iemocap_neutral_309.wav,neutral,2.379954648526077,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/04_iemocap_neutral_309.wav
ravdees,01-2-speech_ravdees_disgust_91.wav,disgust,4.270975056689342,/home/amr/Desktop/KayMo/datasets/kaymodb/disgust/01-2-speech_ravdees_disgust_91.wav
ravdees,01-2-speech_ravdees_fearful_142.wav,fearful,3.6370068027210882,/home/amr/Desktop/KayMo/datasets/kaymodb/fearful/01-2-speech_ravdees_fearful_142.wav
tess,03_tess_angry_119.wav,angry,2.0895238095238096,/home/amr/Desktop/KayMo/datasets/kaymodb/angry/03_tess_angry_119.wav
emodb,0_emodb_neutral_18.wav,neutral,2.2132879818594104,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/0_emodb_neutral_18.wav
tess,03_tess_neutral_288.wav,neutral,1.88421768707483,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/03_tess_neutral_288.wav
iemocap,04_iemocap_angry_941.wav,angry,4.045079365079365,/home/amr/Desktop/KayMo/datasets/kaymodb/angry/04_iemocap_angry_941.wav
iemocap,04_iemocap_neutral_1416.wav,neutral,10.687528344671202,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/04_iemocap_neutral_1416.wav
iemocap,04_iemocap_angry_142.wav,angry,2.98,/home/amr/Desktop/KayMo/datasets/kaymodb/angry/04_iemocap_angry_142.wav
iemocap,04_iemocap_angry_71.wav,angry,1.759954648526077,/home/amr/Desktop/KayMo/datasets/kaymodb/angry/04_iemocap_angry_71.wav
tess,03_tess_angry_168.wav,angry,1.6209977324263039,/home/amr/Desktop/KayMo/datasets/kaymodb/angry/03_tess_angry_168.wav
emodb,0_emodb_happy_48.wav,happy,2.012471655328798,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/0_emodb_happy_48.wav
ravdees,01-1-songs_ravdees_fearful_94.wav,fearful,4.638004535147393,/home/amr/Desktop/KayMo/datasets/kaymodb/fearful/01-1-songs_ravdees_fearful_94.wav
iemocap,04_iemocap_neutral_181.wav,neutral,0.8899773242630385,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/04_iemocap_neutral_181.wav
ravdees,01-1-songs_ravdees_angry_120.wav,angry,4.50453514739229,/home/amr/Desktop/KayMo/datasets/kaymodb/angry/01-1-songs_ravdees_angry_120.wav
iemocap,04_iemocap_sad_479.wav,sad,4.059954648526077,/home/amr/Desktop/KayMo/datasets/kaymodb/sad/04_iemocap_sad_479.wav
iemocap,04_iemocap_happy_1390.wav,happy,7.85609977324263,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/04_iemocap_happy_1390.wav
iemocap,04_iemocap_neutral_644.wav,neutral,3.6100226757369613,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/04_iemocap_neutral_644.wav
tess,03_tess_disgust_106.wav,disgust,2.5709750566893423,/home/amr/Desktop/KayMo/datasets/kaymodb/disgust/03_tess_disgust_106.wav
iemocap,04_iemocap_sad_284.wav,sad,2.819954648526077,/home/amr/Desktop/KayMo/datasets/kaymodb/sad/04_iemocap_sad_284.wav
savee,02_savee_neutral_33.wav,neutral,4.585986394557823,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/02_savee_neutral_33.wav
iemocap,04_iemocap_happy_276.wav,happy,2.3899773242630387,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/04_iemocap_happy_276.wav
iemocap,04_iemocap_neutral_371.wav,neutral,4.490022675736961,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/04_iemocap_neutral_371.wav
iemocap,04_iemocap_happy_135.wav,happy,2.28,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/04_iemocap_happy_135.wav
ravdees,01-1-songs_ravdees_calm_88.wav,calm,6.106122448979592,/home/amr/Desktop/KayMo/datasets/kaymodb/calm/01-1-songs_ravdees_calm_88.wav
iemocap,04_iemocap_happy_239.wav,happy,4.059954648526077,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/04_iemocap_happy_239.wav
ravdees,01-2-speech_ravdees_neutral_13.wav,neutral,3.2365986394557824,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/01-2-speech_ravdees_neutral_13.wav
iemocap,04_iemocap_angry_170.wav,angry,3.98,/home/amr/Desktop/KayMo/datasets/kaymodb/angry/04_iemocap_angry_170.wav
iemocap,04_iemocap_happy_524.wav,happy,4.959954648526077,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/04_iemocap_happy_524.wav
iemocap,04_iemocap_happy_218.wav,happy,14.239002267573696,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/04_iemocap_happy_218.wav
iemocap,04_iemocap_happy_560.wav,happy,6.790022675736961,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/04_iemocap_happy_560.wav
ravdees,01-2-speech_ravdees_fearful_151.wav,fearful,3.2365986394557824,/home/amr/Desktop/KayMo/datasets/kaymodb/fearful/01-2-speech_ravdees_fearful_151.wav
tess,03_tess_sad_316.wav,sad,2.2151473922902496,/home/amr/Desktop/KayMo/datasets/kaymodb/sad/03_tess_sad_316.wav
iemocap,04_iemocap_happy_231.wav,happy,6.029977324263038,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/04_iemocap_happy_231.wav
tess,03_tess_angry_136.wav,angry,1.6166439909297052,/home/amr/Desktop/KayMo/datasets/kaymodb/angry/03_tess_angry_136.wav
tess,03_tess_sad_82.wav,sad,2.336235827664399,/home/amr/Desktop/KayMo/datasets/kaymodb/sad/03_tess_sad_82.wav
tess,03_tess_sad_332.wav,sad,2.42875283446712,/home/amr/Desktop/KayMo/datasets/kaymodb/sad/03_tess_sad_332.wav
iemocap,04_iemocap_angry_17.wav,angry,9.419954648526078,/home/amr/Desktop/KayMo/datasets/kaymodb/angry/04_iemocap_angry_17.wav
iemocap,04_iemocap_sad_744.wav,sad,7.870022675736961,/home/amr/Desktop/KayMo/datasets/kaymodb/sad/04_iemocap_sad_744.wav
ravdees,01-1-songs_ravdees_calm_151.wav,calm,5.205215419501134,/home/amr/Desktop/KayMo/datasets/kaymodb/calm/01-1-songs_ravdees_calm_151.wav
ravdees,01-1-songs_ravdees_fearful_173.wav,fearful,4.1374603174603175,/home/amr/Desktop/KayMo/datasets/kaymodb/fearful/01-1-songs_ravdees_fearful_173.wav
emodb,0_emodb_angry_108.wav,angry,2.362267573696145,/home/amr/Desktop/KayMo/datasets/kaymodb/angry/0_emodb_angry_108.wav
emodb,0_emodb_neutral_59.wav,neutral,2.465578231292517,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/0_emodb_neutral_59.wav
tess,03_tess_surprised_72.wav,surprised,2.2309297052154196,/home/amr/Desktop/KayMo/datasets/kaymodb/surprised/03_tess_surprised_72.wav
tess,03_tess_fearful_45.wav,fearful,1.672063492063492,/home/amr/Desktop/KayMo/datasets/kaymodb/fearful/03_tess_fearful_45.wav
tess,03_tess_happy_281.wav,happy,2.0203174603174605,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/03_tess_happy_281.wav
ravdees,01-2-speech_ravdees_happy_169.wav,happy,3.4034013605442177,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/01-2-speech_ravdees_happy_169.wav
iemocap,04_iemocap_sad_100.wav,sad,2.68,/home/amr/Desktop/KayMo/datasets/kaymodb/sad/04_iemocap_sad_100.wav
iemocap,04_iemocap_sad_203.wav,sad,1.7699773242630386,/home/amr/Desktop/KayMo/datasets/kaymodb/sad/04_iemocap_sad_203.wav
tess,03_tess_surprised_42.wav,surprised,1.866530612244898,/home/amr/Desktop/KayMo/datasets/kaymodb/surprised/03_tess_surprised_42.wav
iemocap,04_iemocap_sad_842.wav,sad,2.6264399092970523,/home/amr/Desktop/KayMo/datasets/kaymodb/sad/04_iemocap_sad_842.wav
tess,03_tess_fearful_71.wav,fearful,1.683673469387755,/home/amr/Desktop/KayMo/datasets/kaymodb/fearful/03_tess_fearful_71.wav
iemocap,04_iemocap_sad_239.wav,sad,8.3,/home/amr/Desktop/KayMo/datasets/kaymodb/sad/04_iemocap_sad_239.wav
tess,03_tess_sad_229.wav,sad,2.408707482993197,/home/amr/Desktop/KayMo/datasets/kaymodb/sad/03_tess_sad_229.wav
iemocap,04_iemocap_happy_1119.wav,happy,1.86,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/04_iemocap_happy_1119.wav
iemocap,04_iemocap_angry_1011.wav,angry,4.487891156462585,/home/amr/Desktop/KayMo/datasets/kaymodb/angry/04_iemocap_angry_1011.wav
iemocap,04_iemocap_happy_305.wav,happy,12.365351473922903,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/04_iemocap_happy_305.wav
iemocap,04_iemocap_angry_258.wav,angry,2.7699773242630386,/home/amr/Desktop/KayMo/datasets/kaymodb/angry/04_iemocap_angry_258.wav
iemocap,04_iemocap_sad_147.wav,sad,3.959954648526077,/home/amr/Desktop/KayMo/datasets/kaymodb/sad/04_iemocap_sad_147.wav
ravdees,01-2-speech_ravdees_neutral_86.wav,neutral,3.570249433106576,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/01-2-speech_ravdees_neutral_86.wav
tess,03_tess_happy_59.wav,happy,1.9233106575963719,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/03_tess_happy_59.wav
emodb,0_emodb_neutral_79.wav,neutral,1.6840362811791383,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/0_emodb_neutral_79.wav
ravdees,01-2-speech_ravdees_calm_178.wav,calm,3.7704761904761903,/home/amr/Desktop/KayMo/datasets/kaymodb/calm/01-2-speech_ravdees_calm_178.wav
tess,03_tess_happy_321.wav,happy,2.013968253968254,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/03_tess_happy_321.wav
tess,03_tess_surprised_326.wav,surprised,1.8214512471655329,/home/amr/Desktop/KayMo/datasets/kaymodb/surprised/03_tess_surprised_326.wav
iemocap,04_iemocap_sad_316.wav,sad,7.699954648526077,/home/amr/Desktop/KayMo/datasets/kaymodb/sad/04_iemocap_sad_316.wav
tess,03_tess_happy_65.wav,happy,2.0099773242630388,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/03_tess_happy_65.wav
iemocap,04_iemocap_sad_578.wav,sad,3.56,/home/amr/Desktop/KayMo/datasets/kaymodb/sad/04_iemocap_sad_578.wav
tess,03_tess_neutral_347.wav,neutral,1.9579138321995464,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/03_tess_neutral_347.wav
iemocap,04_iemocap_neutral_438.wav,neutral,4.469977324263039,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/04_iemocap_neutral_438.wav
tess,03_tess_happy_105.wav,happy,1.957732426303855,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/03_tess_happy_105.wav
emodb,0_emodb_happy_57.wav,happy,2.4268480725623585,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/0_emodb_happy_57.wav
savee,02_savee_disgust_47.wav,disgust,5.622312925170068,/home/amr/Desktop/KayMo/datasets/kaymodb/disgust/02_savee_disgust_47.wav
tess,03_tess_surprised_335.wav,surprised,1.910249433106576,/home/amr/Desktop/KayMo/datasets/kaymodb/surprised/03_tess_surprised_335.wav
tess,03_tess_sad_377.wav,sad,2.4471655328798185,/home/amr/Desktop/KayMo/datasets/kaymodb/sad/03_tess_sad_377.wav
iemocap,04_iemocap_sad_1030.wav,sad,3.163718820861678,/home/amr/Desktop/KayMo/datasets/kaymodb/sad/04_iemocap_sad_1030.wav
iemocap,04_iemocap_sad_658.wav,sad,4.72108843537415,/home/amr/Desktop/KayMo/datasets/kaymodb/sad/04_iemocap_sad_658.wav
savee,02_savee_neutral_57.wav,neutral,4.612154195011338,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/02_savee_neutral_57.wav
iemocap,04_iemocap_sad_818.wav,sad,5.0378231292517,/home/amr/Desktop/KayMo/datasets/kaymodb/sad/04_iemocap_sad_818.wav
ravdees,01-2-speech_ravdees_sad_84.wav,sad,3.5035374149659866,/home/amr/Desktop/KayMo/datasets/kaymodb/sad/01-2-speech_ravdees_sad_84.wav
ravdees,01-2-speech_ravdees_fearful_84.wav,fearful,3.8705668934240363,/home/amr/Desktop/KayMo/datasets/kaymodb/fearful/01-2-speech_ravdees_fearful_84.wav
tess,03_tess_neutral_8.wav,neutral,2.2801360544217686,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/03_tess_neutral_8.wav
iemocap,04_iemocap_neutral_731.wav,neutral,1.3850340136054422,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/04_iemocap_neutral_731.wav
iemocap,04_iemocap_neutral_1522.wav,neutral,5.528707482993197,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/04_iemocap_neutral_1522.wav
ravdees,01-2-speech_ravdees_fearful_136.wav,fearful,3.5035374149659866,/home/amr/Desktop/KayMo/datasets/kaymodb/fearful/01-2-speech_ravdees_fearful_136.wav
tess,03_tess_sad_138.wav,sad,2.3458956916099774,/home/amr/Desktop/KayMo/datasets/kaymodb/sad/03_tess_sad_138.wav
iemocap,04_iemocap_angry_772.wav,angry,6.642947845804989,/home/amr/Desktop/KayMo/datasets/kaymodb/angry/04_iemocap_angry_772.wav
tess,03_tess_happy_325.wav,happy,1.8660770975056689,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/03_tess_happy_325.wav
tess,03_tess_disgust_133.wav,disgust,2.448798185941043,/home/amr/Desktop/KayMo/datasets/kaymodb/disgust/03_tess_disgust_133.wav
iemocap,04_iemocap_neutral_722.wav,neutral,3.376598639455782,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/04_iemocap_neutral_722.wav
tess,03_tess_sad_240.wav,sad,2.426031746031746,/home/amr/Desktop/KayMo/datasets/kaymodb/sad/03_tess_sad_240.wav
tess,03_tess_surprised_180.wav,surprised,1.9200907029478458,/home/amr/Desktop/KayMo/datasets/kaymodb/surprised/03_tess_surprised_180.wav
ravdees,01-2-speech_ravdees_calm_67.wav,calm,3.8705668934240363,/home/amr/Desktop/KayMo/datasets/kaymodb/calm/01-2-speech_ravdees_calm_67.wav
ravdees,01-1-songs_ravdees_calm_25.wav,calm,4.838185941043084,/home/amr/Desktop/KayMo/datasets/kaymodb/calm/01-1-songs_ravdees_calm_25.wav
ravdees,01-1-songs_ravdees_happy_84.wav,happy,4.104126984126984,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/01-1-songs_ravdees_happy_84.wav
tess,03_tess_happy_288.wav,happy,2.0129251700680273,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/03_tess_happy_288.wav
ravdees,01-1-songs_ravdees_calm_44.wav,calm,5.305351473922903,/home/amr/Desktop/KayMo/datasets/kaymodb/calm/01-1-songs_ravdees_calm_44.wav
tess,03_tess_surprised_105.wav,surprised,1.9121995464852608,/home/amr/Desktop/KayMo/datasets/kaymodb/surprised/03_tess_surprised_105.wav
iemocap,04_iemocap_neutral_129.wav,neutral,2.159954648526077,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/04_iemocap_neutral_129.wav
tess,03_tess_neutral_6.wav,neutral,2.128843537414966,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/03_tess_neutral_6.wav
iemocap,04_iemocap_angry_713.wav,angry,2.18,/home/amr/Desktop/KayMo/datasets/kaymodb/angry/04_iemocap_angry_713.wav
tess,03_tess_surprised_350.wav,surprised,1.8622222222222222,/home/amr/Desktop/KayMo/datasets/kaymodb/surprised/03_tess_surprised_350.wav
iemocap,04_iemocap_happy_155.wav,happy,11.639954648526077,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/04_iemocap_happy_155.wav
iemocap,04_iemocap_neutral_1410.wav,neutral,3.1931519274376416,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/04_iemocap_neutral_1410.wav
iemocap,04_iemocap_angry_1052.wav,angry,14.466349206349207,/home/amr/Desktop/KayMo/datasets/kaymodb/angry/04_iemocap_angry_1052.wav
iemocap,04_iemocap_angry_504.wav,angry,8.889977324263038,/home/amr/Desktop/KayMo/datasets/kaymodb/angry/04_iemocap_angry_504.wav
tess,03_tess_happy_90.wav,happy,1.9774603174603174,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/03_tess_happy_90.wav
emodb,0_emodb_angry_5.wav,angry,2.8680725623582766,/home/amr/Desktop/KayMo/datasets/kaymodb/angry/0_emodb_angry_5.wav
iemocap,04_iemocap_happy_444.wav,happy,5.3,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/04_iemocap_happy_444.wav
iemocap,04_iemocap_neutral_1170.wav,neutral,4.0955102040816325,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/04_iemocap_neutral_1170.wav
iemocap,04_iemocap_neutral_692.wav,neutral,4.5974603174603175,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/04_iemocap_neutral_692.wav
iemocap,04_iemocap_neutral_1586.wav,neutral,2.6876643990929705,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/04_iemocap_neutral_1586.wav
iemocap,04_iemocap_angry_72.wav,angry,2.46,/home/amr/Desktop/KayMo/datasets/kaymodb/angry/04_iemocap_angry_72.wav
ravdees,01-1-songs_ravdees_fearful_100.wav,fearful,4.638004535147393,/home/amr/Desktop/KayMo/datasets/kaymodb/fearful/01-1-songs_ravdees_fearful_100.wav
iemocap,04_iemocap_angry_252.wav,angry,2.34,/home/amr/Desktop/KayMo/datasets/kaymodb/angry/04_iemocap_angry_252.wav
iemocap,04_iemocap_angry_695.wav,angry,3.387437641723356,/home/amr/Desktop/KayMo/datasets/kaymodb/angry/04_iemocap_angry_695.wav
ravdees,01-2-speech_ravdees_fearful_31.wav,fearful,3.937278911564626,/home/amr/Desktop/KayMo/datasets/kaymodb/fearful/01-2-speech_ravdees_fearful_31.wav
ravdees,01-1-songs_ravdees_happy_140.wav,happy,4.404399092970522,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/01-1-songs_ravdees_happy_140.wav
iemocap,04_iemocap_neutral_1644.wav,neutral,7.1,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/04_iemocap_neutral_1644.wav
ravdees,01-1-songs_ravdees_calm_94.wav,calm,5.338684807256236,/home/amr/Desktop/KayMo/datasets/kaymodb/calm/01-1-songs_ravdees_calm_94.wav
savee,02_savee_happy_5.wav,happy,3.8365079365079366,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/02_savee_happy_5.wav
ravdees,01-2-speech_ravdees_happy_96.wav,happy,4.004036281179138,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/01-2-speech_ravdees_happy_96.wav
iemocap,04_iemocap_angry_955.wav,angry,2.86,/home/amr/Desktop/KayMo/datasets/kaymodb/angry/04_iemocap_angry_955.wav
iemocap,04_iemocap_happy_752.wav,happy,8.5,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/04_iemocap_happy_752.wav
iemocap,04_iemocap_sad_28.wav,sad,4.18,/home/amr/Desktop/KayMo/datasets/kaymodb/sad/04_iemocap_sad_28.wav
tess,03_tess_fearful_400.wav,fearful,1.4254421768707484,/home/amr/Desktop/KayMo/datasets/kaymodb/fearful/03_tess_fearful_400.wav
ravdees,01-2-speech_ravdees_neutral_61.wav,neutral,3.4034013605442177,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/01-2-speech_ravdees_neutral_61.wav
tess,03_tess_fearful_56.wav,fearful,1.6673469387755102,/home/amr/Desktop/KayMo/datasets/kaymodb/fearful/03_tess_fearful_56.wav
ravdees,01-2-speech_ravdees_happy_133.wav,happy,3.336689342403628,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/01-2-speech_ravdees_happy_133.wav
tess,03_tess_happy_11.wav,happy,1.8183219954648526,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/03_tess_happy_11.wav
iemocap,04_iemocap_neutral_1497.wav,neutral,2.0850340136054424,/home/amr/Desktop/KayMo/datasets/kaymodb/neutral/04_iemocap_neutral_1497.wav
tess,03_tess_happy_140.wav,happy,1.9779591836734693,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/03_tess_happy_140.wav
ravdees,01-1-songs_ravdees_happy_132.wav,happy,4.270975056689342,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/01-1-songs_ravdees_happy_132.wav
iemocap,04_iemocap_happy_984.wav,happy,3.7699773242630386,/home/amr/Desktop/KayMo/datasets/kaymodb/happy/04_iemocap_happy_984.wav
