dataset,filename,emotion,length,path,features
ravdees,01-1-songs_ravdees_fearful_15.wav,fearful,4.20421768707483,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/fearful/01-1-songs_ravdees_fearful_15.wav,0.3728431165218353 0.011193799786269665 1747.1783693694636 1792.3997168391109 3651.455965909091 0.1557950106534091 -518.1538696289062 51.54473114013672 -3.859722375869751 11.761473655700684 -5.214305400848389 0.00457763671875 -6.091786861419678 -6.1698222160339355 -9.603553771972656 7.557309627532959 -5.973903656005859 1.516181230545044 -6.194437503814697 1.6234840154647827 -1.9771950244903564 -4.285612106323242 -1.2521826028823853 -3.2980756759643555 -6.4380106925964355 -1.9689321517944336
ravdees,01-1-songs_ravdees_fearful_113.wav,fearful,4.8048072562358275,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/fearful/01-1-songs_ravdees_fearful_113.wav,0.3942951261997223 0.006928388494998217 2212.4788367943793 1766.2667232812782 4116.5666390728475 0.2907342973923841 -581.9215698242188 37.080039978027344 -14.24776554107666 -9.518138885498047 -27.49678611755371 -9.07283878326416 -18.57099723815918 -13.86717414855957 -9.636683464050293 -5.913196086883545 -4.430319786071777 -7.652271747589111 0.3853311538696289 2.9434163570404053 0.805578351020813 10.848182678222656 8.280047416687012 10.8994722366333 6.761496543884277 5.802332878112793
savee,02_savee_angry_11.wav,angry,7.02485260770975,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/angry/02_savee_angry_11.wav,0.46966350078582764 0.12808217108249664 977.0663418561155 1181.2131462461048 1884.9786931818182 0.022809392755681817 -288.920166015625 85.39674377441406 12.87960433959961 42.25632095336914 3.186298131942749 -12.405526161193848 -16.548309326171875 -3.9265928268432617 -4.803339958190918 3.563445568084717 -2.335782766342163 2.95735239982605 -0.07769546657800674 4.812905788421631 0.7196728587150574 4.988232612609863 -2.772594928741455 -3.855877637863159 -2.6717705726623535 0.5320684313774109
ravdees,01-1-songs_ravdees_happy_122.wav,happy,4.771473922902494,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/happy/01-1-songs_ravdees_happy_122.wav,0.35684454441070557 0.021609626710414886 2515.7247574278335 1998.8765233245103 4764.479166666667 0.308134765625 -473.5406188964844 8.494712829589844 -18.46280288696289 -8.784503936767578 -19.744144439697266 -10.594385147094727 -14.85848331451416 -22.7428035736084 -6.882006645202637 -5.483850955963135 -16.49602508544922 -5.107329845428467 -4.556723594665527 -1.8773219585418701 -9.090198516845703 7.413147926330566 2.758289098739624 18.54474639892578 14.213579177856445 12.602709770202637
ravdees,01-1-songs_ravdees_happy_93.wav,happy,4.437777777777778,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/happy/01-1-songs_ravdees_happy_93.wav,0.3662397861480713 0.03175872191786766 2129.5042765237417 1636.2125766635659 3990.220323741007 0.19005030350719423 -442.4721374511719 21.30449867248535 -41.68653106689453 5.258350849151611 -18.716304779052734 -14.615751266479492 -17.553531646728516 -19.833215713500977 0.4506882131099701 -6.701709270477295 -5.190887451171875 -5.6533403396606445 -6.039425849914551 -4.31559944152832 -12.192574501037598 3.956653594970703 1.469968318939209 13.146822929382324 22.425079345703125 16.827978134155273
ravdees,01-1-songs_ravdees_calm_74.wav,calm,5.538866213151928,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/calm/01-1-songs_ravdees_calm_74.wav,0.35616180300712585 0.011482924222946167 2216.281029867193 1715.0693613804058 4021.3721264367814 0.30939071479885055 -559.0908813476562 26.66143226623535 -20.148605346679688 -5.266525745391846 -28.847246170043945 3.202535629272461 -20.67871856689453 -10.259143829345703 -8.913408279418945 -7.721741199493408 -12.95810604095459 -7.631320476531982 0.9036414623260498 -6.418590545654297 -4.052743911743164 1.3249982595443726 3.8822875022888184 19.537322998046875 19.589384078979492 19.136524200439453
ravdees,01-2-speech_ravdees_happy_162.wav,happy,3.47015873015873,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/happy/01-2-speech_ravdees_happy_162.wav,0.4817657470703125 0.003601937321946025 2011.416613104746 1783.2038178702003 4013.976490825688 0.27341958142201833 -621.6221313476562 70.70114135742188 -8.621146202087402 20.99786949157715 -2.6601147651672363 -6.426924228668213 -13.601811408996582 0.4045167863368988 -1.413295865058899 -4.516400337219238 0.8008721470832825 3.2937281131744385 -5.636285305023193 3.860041618347168 -6.640623092651367 -0.43429961800575256 -4.279001235961914 -3.06610107421875 -6.456015110015869 -2.0556421279907227
ravdees,01-1-songs_ravdees_calm_51.wav,calm,5.171836734693877,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/calm/01-1-songs_ravdees_calm_51.wav,0.38125282526016235 0.01047205738723278 1617.419359482024 1694.3901883240123 3346.064814814815 0.1288399402006173 -537.6990966796875 57.38457107543945 -9.599435806274414 14.564020156860352 -6.524796962738037 1.7426202297210693 -6.084803581237793 -16.904483795166016 -5.515162944793701 -0.1111992746591568 -9.107922554016113 7.975020885467529 -8.257658958435059 -0.9326044917106628 -0.6364620923995972 -6.5411152839660645 -4.264310359954834 -2.5946033000946045 -4.377152442932129 0.17063160240650177
ravdees,01-2-speech_ravdees_calm_146.wav,calm,3.1364625850340135,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/calm/01-2-speech_ravdees_calm_146.wav,0.5713144540786743 0.0016540602082386613 1967.8597566597132 1986.4391744406882 4341.619318181818 0.24547723327020202 -723.7406005859375 69.92071533203125 10.275888442993164 17.78561782836914 8.294617652893066 6.016720771789551 -4.5061354637146 -4.3473429679870605 0.4218931794166565 3.1456425189971924 -4.987285137176514 10.248102188110352 -2.7668302059173584 3.2755513191223145 0.6553603410720825 -2.459517002105713 2.401827335357666 0.5531858801841736 -1.7856793403625488 1.3715516328811646
ravdees,01-2-speech_ravdees_calm_20.wav,calm,3.5035374149659866,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/calm/01-2-speech_ravdees_calm_20.wav,0.48927178978919983 0.0032893342431634665 2433.12639112841 1886.5281004605122 4451.491477272727 0.25366654829545454 -678.6217041015625 49.294273376464844 4.223074436187744 7.632681369781494 -3.3450300693511963 0.6389982104301453 -11.870598793029785 -9.370412826538086 -5.662966728210449 -4.419911861419678 -6.253377437591553 -4.223690986633301 -1.657713770866394 -4.732418060302734 -6.042383193969727 -4.979408264160156 -8.032434463500977 -5.632656097412109 -7.508392333984375 -4.498270034790039
ravdees,01-2-speech_ravdees_happy_96.wav,happy,3.7704761904761903,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/happy/01-2-speech_ravdees_happy_96.wav,0.503259003162384 0.004821483511477709 1948.9538753946536 1785.2160773229082 3963.916843220339 0.21536927304025424 -603.2542114257812 64.35150146484375 -1.362419605255127 13.845202445983887 -3.3439412117004395 -1.9707266092300415 -7.611796855926514 -7.975072860717773 -4.904590606689453 4.901218414306641 -5.475871562957764 0.7639335989952087 -2.5462183952331543 0.6504420638084412 -2.658018112182617 -3.257695436477661 1.2809714078903198 -1.349098563194275 -4.421361446380615 -0.56932532787323
savee,02_savee_happy_56.wav,happy,5.408798185941043,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/happy/02_savee_happy_56.wav,0.3753919303417206 0.17405042052268982 802.271195079429 1070.1794613260784 1587.545955882353 0.031718175551470586 -263.67425537109375 97.2148208618164 9.408612251281738 33.32550048828125 13.577591896057129 -23.502458572387695 -25.979618072509766 0.9720200300216675 -21.10068702697754 -6.433508396148682 -6.151609897613525 -6.250255107879639 0.5333258509635925 5.8143391609191895 -11.787830352783203 -0.7379733324050903 0.05648857727646828 -8.99839973449707 -0.6498088836669922 -1.9805731773376465
ravdees,01-1-songs_ravdees_neutral_8.wav,neutral,4.037414965986395,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/neutral/01-1-songs_ravdees_neutral_8.wav,0.40591907501220703 0.007596106268465519 1671.2894037167625 1727.6380025136468 3432.5787401574803 0.18207892470472442 -582.9805908203125 59.067935943603516 -1.095386028289795 11.24977970123291 -1.3125735521316528 1.6995601654052734 -4.8661208152771 -8.002776145935059 -9.67872428894043 4.964694023132324 -6.324653148651123 -1.9021990299224854 -3.7346503734588623 2.40554141998291 -3.5449931621551514 -4.607905387878418 -2.129884958267212 -3.033325433731079 -5.093608379364014 -0.8620473146438599
emodb,0_emodb_disgust_4.wav,disgust,2.554875283446712,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/disgust/0_emodb_disgust_4.wav,0.3905315399169922 0.07408199459314346 2092.8385381837898 1821.4939049686204 4063.76953125 0.128955078125 -219.45596313476562 61.6411247253418 -1.4339923858642578 22.353973388671875 2.014150857925415 4.991857528686523 -18.979408264160156 -11.478937149047852 -17.102781295776367 8.031661987304688 -4.212281703948975 5.35029935836792 -2.2859044075012207 3.5889861583709717 -7.756430625915527 2.8080315589904785 -6.049923896789551 -6.390253067016602 -3.1210384368896484 -3.9918503761291504
ravdees,01-1-songs_ravdees_angry_140.wav,angry,4.270929705215419,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/angry/01-1-songs_ravdees_angry_140.wav,0.43543577194213867 0.019949087873101234 2055.8640196515353 1863.9305514322793 4216.068097014925 0.23265872784514927 -467.60186767578125 37.91017150878906 -12.363810539245605 11.504478454589844 -10.80121898651123 -11.733821868896484 -13.674059867858887 -11.99347972869873 -10.43309497833252 3.0034024715423584 -11.716259002685547 6.690949440002441 -8.354413986206055 2.118608236312866 -5.427966594696045 -7.886928081512451 -2.1219398975372314 -5.167587757110596 -3.65224027633667 -2.0168330669403076
ravdees,01-1-songs_ravdees_sad_156.wav,sad,4.738095238095238,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/sad/01-1-songs_ravdees_sad_156.wav,0.35432353615760803 0.0023368732072412968 1739.8342530819496 1487.8005639742457 3215.8661912751677 0.20425230704697986 -684.5776977539062 59.06919860839844 2.8284082412719727 12.51751708984375 -5.645952224731445 -18.49540901184082 -15.09414291381836 -14.771458625793457 -15.05522346496582 -7.656013011932373 -16.134401321411133 -5.717231750488281 -14.151891708374023 -6.222721099853516 -10.273381233215332 -7.0665602684021 -7.230173110961914 -7.32183313369751 -7.336308002471924 -5.294615268707275
emodb,0_emodb_angry_41.wav,angry,2.3588208616780046,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/angry/0_emodb_angry_41.wav,0.3851964473724365 0.0690208375453949 2113.252995321838 1578.7663456732241 3687.394425675676 0.14922270903716217 -221.94174194335938 55.96804428100586 -39.64509582519531 18.11684226989746 -21.27703285217285 -7.1696457862854 2.1487224102020264 -22.22748374938965 -11.748634338378906 -0.595110297203064 -11.767525672912598 3.625308036804199 -8.371658325195312 6.2753586769104 -7.3794264793396 -0.5515896677970886 -7.597063064575195 -1.671778917312622 -3.373807430267334 1.488325834274292
ravdees,01-2-speech_ravdees_sad_16.wav,sad,3.603628117913832,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/sad/01-2-speech_ravdees_sad_16.wav,0.44183868169784546 0.00952680129557848 1655.5754906761865 1834.4813833508604 3581.6509955752213 0.10791447732300885 -530.5180053710938 57.188087463378906 3.9175918102264404 12.306130409240723 0.4256676733493805 -0.8764039874076843 -6.783695220947266 -5.486079216003418 -9.935039520263672 1.4029715061187744 -4.839572906494141 0.26214390993118286 -5.308224678039551 1.6549805402755737 -3.56978440284729 -1.8674235343933105 -4.744804382324219 -2.577500343322754 -5.294949054718018 -2.9414584636688232
savee,02_savee_neutral_97.wav,neutral,5.156825396825397,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/neutral/02_savee_neutral_97.wav,0.46089085936546326 0.06740066409111023 598.9329779441911 929.7992805334038 1103.0574845679012 0.01613136574074074 -389.93817138671875 131.90623474121094 19.82245635986328 37.670597076416016 14.841994285583496 -21.351652145385742 -11.730193138122559 5.318916320800781 -13.842958450317383 -1.2207589149475098 0.7823333740234375 -3.818311929702759 3.263701915740967 8.26040267944336 -7.454702854156494 2.841320753097534 -4.757330417633057 -6.329553127288818 2.8382279872894287 2.0409247875213623
ravdees,01-2-speech_ravdees_disgust_148.wav,disgust,3.703718820861678,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/disgust/01-2-speech_ravdees_disgust_148.wav,0.5350107550621033 0.004752431530505419 1895.9215390887343 1852.1906985521068 3947.400323275862 0.2375025255926724 -611.3846435546875 62.84757995605469 2.4609177112579346 14.436058044433594 -1.003288984298706 -0.8177580237388611 -9.459066390991211 -3.347391128540039 -2.8727807998657227 1.6508558988571167 -3.818385124206543 6.627695083618164 -7.13822078704834 2.834909200668335 -2.162816047668457 -0.3830025792121887 1.2542141675949097 -0.3070467710494995 -1.1645127534866333 -3.4062774181365967
ravdees,01-1-songs_ravdees_calm_162.wav,calm,5.60562358276644,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/calm/01-1-songs_ravdees_calm_162.wav,0.2866347134113312 0.005932857282459736 1957.9547278452294 1540.8298094529428 3478.6487926136365 0.23195856267755682 -604.0040893554688 39.11711502075195 -25.8702449798584 4.6207966804504395 -30.045316696166992 -7.242991924285889 -18.56243896484375 -11.690695762634277 0.43770840764045715 -5.838870048522949 -15.757081031799316 -8.301641464233398 -6.003573417663574 -13.921929359436035 -3.0579214096069336 1.0655155181884766 9.939014434814453 19.115385055541992 24.9552001953125 20.666893005371094
ravdees,01-1-songs_ravdees_happy_107.wav,happy,4.50453514739229,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/happy/01-1-songs_ravdees_happy_107.wav,0.4115954041481018 0.01282639242708683 1950.8322766243105 1754.6244149039592 3921.4317375886526 0.22153424202127658 -512.7737426757812 47.921390533447266 -24.36695098876953 19.36069679260254 0.40424102544784546 -11.078581809997559 -10.401863098144531 -11.084781646728516 -8.279132843017578 7.875986099243164 -6.349666595458984 4.108924865722656 -6.073895454406738 0.8185985088348389 -1.1956117153167725 -9.433540344238281 -2.8349506855010986 1.7880772352218628 -7.453540325164795 0.7555668950080872
ravdees,01-2-speech_ravdees_angry_125.wav,angry,5.105124716553288,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/angry/01-2-speech_ravdees_angry_125.wav,0.3656860291957855 0.01977168582379818 2227.561709730469 1589.2258969048958 4039.697265625 0.2684967041015625 -478.9649353027344 16.03172492980957 -15.773425102233887 -5.316359519958496 -22.43338394165039 -4.216882228851318 -15.180238723754883 -9.759922981262207 -6.045454025268555 -7.180005073547363 1.549468755722046 -6.526045799255371 -6.143779754638672 -0.4168787896633148 -9.091572761535645 0.642106831073761 -10.482620239257812 -1.9178746938705444 -5.25269079208374 0.11972685158252716
ravdees,01-2-speech_ravdees_fearful_79.wav,fearful,3.83718820861678,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/fearful/01-2-speech_ravdees_fearful_79.wav,0.41152480244636536 0.007498470135033131 2038.3988715185374 1749.6766149534296 3880.078125 0.20808512369791668 -497.53533935546875 57.721187591552734 -10.775774955749512 13.795085906982422 -4.959672927856445 -10.271353721618652 -24.13880729675293 -5.389997482299805 -12.765375137329102 -5.913033962249756 -10.9940185546875 -6.7767558097839355 -8.012090682983398 -5.5078349113464355 -6.810053825378418 -5.3201680183410645 -3.148432970046997 -5.294344902038574 -9.806046485900879 -5.672609806060791
savee,02_savee_sad_34.wav,sad,4.301995464852608,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/sad/02_savee_sad_34.wav,0.4071856737136841 0.0060270787216722965 852.2871798510312 1217.9364527335144 1561.111111111111 0.035308159722222225 -612.2531127929688 126.41130065917969 33.07135009765625 34.838287353515625 3.4661035537719727 -5.634993553161621 -3.4057722091674805 -7.0931267738342285 -13.503521919250488 -5.056136131286621 -5.933297634124756 -1.4462764263153076 -2.7827141284942627 -3.622995615005493 4.3122711181640625 2.0860347747802734 -2.1763923168182373 5.385360240936279 -2.8019702434539795 -3.8593461513519287
ravdees,01-2-speech_ravdees_surprised_114.wav,surprised,3.5035374149659866,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/surprised/01-2-speech_ravdees_surprised_114.wav,0.5142284035682678 0.014487499371170998 2395.540741327983 1941.819744847139 4618.821022727273 0.3186257102272727 -512.478271484375 34.805484771728516 -13.843759536743164 5.747539520263672 -3.440084934234619 -9.01604175567627 -13.630006790161133 -7.9082350730896 -9.319473266601562 -0.019442103803157806 -9.396315574645996 -4.128870964050293 -9.097725868225098 -5.555241584777832 -6.399199485778809 -8.313773155212402 -4.950542449951172 1.3193882703781128 -0.6890429854393005 4.804047107696533
ravdees,01-2-speech_ravdees_neutral_94.wav,neutral,3.53687074829932,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/neutral/01-2-speech_ravdees_neutral_94.wav,0.4505521357059479 0.0029880923684686422 1823.8391638223236 1915.4695636321233 4090.723536036036 0.17535895270270271 -667.8046264648438 59.993247985839844 9.62321949005127 21.296777725219727 -1.266676664352417 6.484927177429199 -9.350903511047363 -3.606046676635742 -3.5457355976104736 0.503219485282898 -4.381587028503418 2.405672550201416 -2.7467410564422607 -1.0836296081542969 -1.7443342208862305 3.0580496788024902 1.9643646478652954 0.5554831624031067 -0.4043908715248108 0.8065345883369446
ravdees,01-1-songs_ravdees_sad_93.wav,sad,4.404399092970522,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/sad/01-1-songs_ravdees_sad_93.wav,0.3917614221572876 0.013940859586000443 2260.018526577772 1829.7563024704145 4392.54981884058 0.273002292798913 -519.8013305664062 27.209609985351562 -26.274768829345703 5.54470157623291 -20.65118408203125 -11.64537239074707 -11.071683883666992 -21.942312240600586 -1.9138349294662476 -6.4251203536987305 -3.935765266418457 -1.9481542110443115 -3.273568868637085 5.294098377227783 -4.663547515869141 6.862001419067383 7.488986015319824 16.085216522216797 18.185943603515625 16.746585845947266
ravdees,01-2-speech_ravdees_disgust_178.wav,disgust,4.037414965986395,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/disgust/01-2-speech_ravdees_disgust_178.wav,0.4668334126472473 0.011239738203585148 2273.3825853888725 1807.694167575123 4102.6697834645665 0.2770400159940945 -512.2874145507812 43.43280029296875 5.388372898101807 -4.587045669555664 -6.954913139343262 -3.0155370235443115 -23.06052017211914 -7.140148162841797 -10.892267227172852 -8.52033805847168 -5.2057600021362305 -7.755204677581787 -13.431197166442871 -1.364846110343933 -12.071711540222168 -8.717218399047852 -5.636847496032715 -5.491345405578613 -8.988764762878418 -4.547936916351318
emodb,0_emodb_happy_7.wav,happy,3.82984126984127,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/happy/0_emodb_happy_7.wav,0.38979291915893555 0.08534613996744156 1737.2951366808586 1544.3873729682543 3181.8359375 0.13076171875 -207.66754150390625 94.2598648071289 -14.163492202758789 17.288665771484375 -5.545097351074219 0.8428630232810974 -2.7131545543670654 -7.797475337982178 -9.879097938537598 0.9182813167572021 -10.129880905151367 -5.98939847946167 -5.997626304626465 1.3221648931503296 -5.158376216888428 -1.806990385055542 -4.3161797523498535 -2.3369438648223877 -6.71303653717041 0.7642176747322083
ravdees,01-2-speech_ravdees_happy_67.wav,happy,3.8705668934240363,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/happy/01-2-speech_ravdees_happy_67.wav,0.40162983536720276 0.014043859206140041 2263.629032243604 1639.3005666351144 4132.618801652892 0.23085211131198347 -484.4770812988281 27.939767837524414 -25.377330780029297 6.268631458282471 -15.06918716430664 -2.161249876022339 -17.582761764526367 -11.064220428466797 -2.520376443862915 -1.670133113861084 -12.331985473632812 2.3659467697143555 3.093625545501709 3.8254759311676025 -1.2506283521652222 -0.5530328154563904 -0.2886197865009308 8.036566734313965 2.4898757934570312 4.868415355682373
savee,02_savee_angry_60.wav,angry,3.438140589569161,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/angry/02_savee_angry_60.wav,0.48211169242858887 0.13266398012638092 885.3981056573413 1064.8004818292006 1669.7771990740741 0.034089265046296294 -272.7498779296875 108.60165405273438 -12.492571830749512 22.56195831298828 6.334142208099365 -18.05013084411621 -11.798426628112793 11.00835132598877 -15.56722640991211 2.5094008445739746 -1.0027902126312256 -4.823241710662842 2.350250005722046 2.1647510528564453 -7.024908065795898 0.5858445167541504 -3.225792407989502 -4.3978352546691895 -0.5367329716682434 1.427819848060608
savee,02_savee_surprised_38.wav,surprised,3.532380952380952,/Users/amrmkayid/Desktop/KayMo/datasets/kaymodb/surprised/02_savee_surprised_38.wav,0.3623701333999634 0.010059568099677563 717.1994414340656 1072.5122109355477 1255.0675675675675 0.028447881475225225 -561.6486206054688 121.753662109375 34.004024505615234 25.450572967529297 -2.1631646156311035 -15.701859474182129 -1.602660059928894 -5.5840888023376465 -20.987701416015625 -11.849408149719238 -6.5432305335998535 -0.7611502408981323 -6.658810615539551 -6.818399906158447 -0.6725426316261292 -0.38674718141555786 -1.4559823274612427 3.924962282180786 0.12082146108150482 -1.9744192361831665
